id,lat,lon,name,type
1532,7.89323970833,98.299594125,auto_detected_bin,auto
500,7.89210270833,98.295008625,auto_detected_bin,auto
501,7.889853,98.367548,auto_detected_bin,auto
502,7.87963433333,98.3812833333,auto_detected_bin,auto
503,7.9026395,98.321474125,auto_detected_bin,auto
505,7.917459125,98.296039625,auto_detected_bin,auto
506,7.9167265,98.2907073333,auto_detected_bin,auto
509,7.894187958330001,98.3050095,auto_detected_bin,auto
1473,7.888502291669999,98.3034710833,auto_detected_bin,auto
512,7.916761999999999,98.2846850417,auto_detected_bin,auto
515,7.916987666669999,98.284146875,auto_detected_bin,auto
1691,7.891344625,98.3012959167,auto_detected_bin,auto
519,7.89008904167,98.30788366670001,auto_detected_bin,auto
520,7.878460166669999,98.2937067083,auto_detected_bin,auto
521,7.87936725,98.29473875,auto_detected_bin,auto
522,7.873405875,98.2879386667,auto_detected_bin,auto
523,7.877652,98.2905346667,auto_detected_bin,auto
524,7.8985270000000005,98.3043190833,auto_detected_bin,auto
526,7.879285791669999,98.29119625,auto_detected_bin,auto
527,7.879663166669999,98.2927964583,auto_detected_bin,auto
1472,7.88707608333,98.3010474167,auto_detected_bin,auto
1525,7.888051666669999,98.3032194167,auto_detected_bin,auto
530,7.908618499999999,98.3518576667,auto_detected_bin,auto
532,7.8974405,98.3048855,auto_detected_bin,auto
534,7.898753416669999,98.304924625,auto_detected_bin,auto
535,7.89959175,98.3057533333,auto_detected_bin,auto
536,7.89977275,98.3066199583,auto_detected_bin,auto
1562,7.8897735416699994,98.303799625,auto_detected_bin,auto
538,7.8995215416699995,98.3073607917,auto_detected_bin,auto
539,7.8980468333300005,98.303656875,auto_detected_bin,auto
540,7.893028666669999,98.3047607083,auto_detected_bin,auto
541,7.89734,98.3017951667,auto_detected_bin,auto
1637,7.898564583330001,98.3016956667,auto_detected_bin,auto
543,7.894313833330001,98.30613316670001,auto_detected_bin,auto
544,7.891267791669999,98.30428883329999,auto_detected_bin,auto
545,7.88514720833,98.3027631667,auto_detected_bin,auto
546,7.884795958330001,98.3010292083,auto_detected_bin,auto
