id,is_correct,lat,lon,name,type,verified
607,True,7.90148520833,98.3045674167,ถังถูกตรวจพบอัตโนมัติ 607,plastic,True
608,True,7.903413,98.3063847083,ถังถูกตรวจพบอัตโนมัติ 608,plastic,True
609,True,7.89455554167,98.2985772083,ถังถูกตรวจพบอัตโนมัติ 609,plastic,True
611,True,7.89727691667,98.3025703333,ถังถูกตรวจพบอัตโนมัติ 611,plastic,True
614,True,7.89134779167,98.297729875,ถังถูกตรวจพบอัตโนมัติ 614,plastic,True
615,True,7.894247,98.301881875,ถังถูกตรวจพบอัตโนมัติ 615,plastic,True
616,True,7.889751375,98.2957875833,ถังถูกตรวจพบอัตโนมัติ 616,plastic,True
617,True,7.893972,98.302491125,ถังถูกตรวจพบอัตโนมัติ 617,plastic,True
618,True,7.89415116667,98.2991517917,ถังถูกตรวจพบอัตโนมัติ 618,plastic,True
497,True,7.886463,98.2901159167,ถังถูกตรวจพบอัตโนมัติ 497,plastic,True
498,True,7.88691045833,98.2906519583,ถังถูกตรวจพบอัตโนมัติ 498,plastic,True
507,True,7.89485345833,98.3052109583,ถังถูกตรวจพบอัตโนมัติ 507,plastic,True
508,True,7.916907,98.2888216667,ถังถูกตรวจพบอัตโนมัติ 508,plastic,True
513,True,7.89012916667,98.293913875,ถังถูกตรวจพบอัตโนมัติ 513,plastic,True
517,True,7.91113716667,98.295357875,ถังถูกตรวจพบอัตโนมัติ 517,plastic,True
525,True,7.87821204167,98.2914632917,ถังถูกตรวจพบอัตโนมัติ 525,plastic,True
528,True,7.8805835,98.293718,ถังถูกตรวจพบอัตโนมัติ 528,plastic,True
572,True,7.88652933333,98.3017373333,ถังถูกตรวจพบอัตโนมัติ 572,plastic,True
573,True,7.89506525,98.304704125,ถังถูกตรวจพบอัตโนมัติ 573,plastic,True
579,True,7.88389254167,98.2931779583,ถังถูกตรวจพบอัตโนมัติ 579,plastic,True
620,True,7.89226629167,98.3014799583,ถังถูกตรวจพบอัตโนมัติ 620,plastic,True
623,True,7.88773154167,98.2997099583,ถังถูกตรวจพบอัตโนมัติ 623,plastic,True
624,True,7.901714375,98.310451,ถังถูกตรวจพบอัตโนมัติ 624,plastic,True
625,True,7.89284016667,98.303603625,ถังถูกตรวจพบอัตโนมัติ 625,plastic,True
626,True,7.89329245833,98.3032509167,ถังถูกตรวจพบอัตโนมัติ 626,plastic,True
627,True,7.88080225,98.2954212083,ถังถูกตรวจพบอัตโนมัติ 627,plastic,True
628,True,7.89086595833,98.3029675,ถังถูกตรวจพบอัตโนมัติ 628,plastic,True
631,True,7.87559279167,98.2896699167,ถังถูกตรวจพบอัตโนมัติ 631,plastic,True
634,True,7.87739583333,98.2896159167,ถังถูกตรวจพบอัตโนมัติ 634,plastic,True
